Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 0, TIDL_DataLayer, 3, 600, 400, 400, 3, 600, 3, FRAME, 0, 0, 960000, 960000, 1, 0, 1,,,,,,,,, DDR, DMA, 7200, 960000, 2, 2881024, 0, 0, ,,,,,,,, DDR, CPU, 7200, 7200, 400, 2881024, 0, 0, ,,,,,,,, MSMC, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 1, TIDL_DataConvertLayer, 400, 3, 600, 3, 600, 400, 400,  COL, 0, 0, 7200, 7200, 40, 0, 40,,,,,,,,, L2, DMA, 7233, 7233, 20, 144768, 0, 0, L2, CPU, 0, 600, 3, 0, 0, 0, DDR, DMA, 240000, 240000, 3, 721024, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 2, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, ,,,,,,,, MSMC, CPU, 240064, 240000, 3, 723840, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 3, TIDL_EltWiseLayer, 6, 600, 400, 3, 600, 400, 6,  COL, 0, 0, 40200, 240000, 18, 0, 18,,,,,,,,, L2, DMA, 40200, 40200, 2, 160896, 0, 0, MSMC, CPU, 40256, 40200, 2, 80512, 0, b0b80, DDR, DMA, 281792, 240000, 3, 846464, 0, b0080, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 4, TIDL_ConvolutionLayer, 3, 600, 400, 32, 600, 400, 3, ROW_C, 1202, 1216, 8128, 240000, 30, 1, 30,,,,,,,,, L2, DMA, 32768, 32768, 3, 98432, 0, 0, MSMC, CPU, 8128, 8128, 32, 520192, 0, 0, DDR, DMA, 251968, 240000, 32, 8064000, 0, 17eb00, ,,,,,,,, MSMC, DMA_ONCE, 27, 27, 32, 1024, 0, f1080, ,,,,,,,, 
 5, TIDL_ConvolutionLayer, 32, 600, 400, 32, 600, 400, 32, ROW_C, 1202, 1216, 1440, 240000, 167, 1, 167,,,,,,,,, L2, DMA, 4096, 4096, 32, 131200, 0, 0, MSMC, CPU, 1472, 1440, 32, 94208, 0, 2880, DDR, DMA, 242880, 240000, 32, 7773184, 0, 92f700, ,,,,,,,, MSMC, DMA, 320, 288, 32, 10368, 0, 0, ,,,,,,,, 
 6, TIDL_ConvolutionLayer, 32, 600, 400, 32, 600, 400, 32, ROW_C, 1202, 1216, 1440, 240000, 167, 1, 167,,,,,,,,, L2, DMA, 4096, 4096, 32, 131200, 0, 0, MSMC, CPU, 1472, 1440, 32, 94208, 0, 2880, DDR, DMA, 242880, 240000, 32, 7773184, 0, 1099300, ,,,,,,,, MSMC, DMA, 320, 288, 32, 10368, 0, 0, ,,,,,,,, 
 7, TIDL_ConvolutionLayer, 32, 600, 400, 32, 600, 400, 32, ROW_C, 1202, 1216, 1440, 240000, 167, 1, 167,,,,,,,,, L2, DMA, 4096, 4096, 32, 131200, 0, 0, MSMC, CPU, 1472, 1440, 32, 94208, 0, 2880, DDR, DMA, 242880, 240000, 32, 7773184, 0, 1802f00, ,,,,,,,, MSMC, DMA, 320, 288, 32, 10368, 0, 0, ,,,,,,,, 
 8, TIDL_ConcatLayer, 64, 600, 400, 64, 600, 400, 64,  COL, 0, 0, 80400, 240000, 192, 0, 192,,,,,,,,, L2, DMA, 160800, 160800, 1, 160896, 0, 0, MSMC, CPU, 80448, 80400, 2, 160896, 0, 0, DDR, DMA, 321792, 240000, 64, 20595712, 0, 1f6cb00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 9, TIDL_ConvolutionLayer, 64, 600, 400, 32, 600, 400, 64, ROW_C, 1202, 1216, 416, 240000, 576, 1, 576,,,,,,,,, L2, DMA, 2048, 2048, 64, 131200, 0, 0, MSMC, CPU, 832, 416, 32, 53248, 0, 4880, DDR, DMA, 241280, 240000, 32, 7721984, 0, 1099300, ,,,,,,,, MSMC, DMA_ONCE, 576, 576, 32, 18560, 0, ec800, ,,,,,,,, 
